cr,vsl_base_usd,elasticity,baseline_year,deaths,cost_pkr_bn,cost_usd_bn
gemm,2500000,1.0,2019,19041,496.2,1.79
gemm,2500000,1.0,2023,19709,513.6,1.85
gemm,2500000,1.2,2019,19041,257.5,0.93
gemm,2500000,1.2,2023,19709,266.5,0.96
gemm,3830000,1.0,2019,19041,760.2,2.74
gemm,3830000,1.0,2023,19709,786.9,2.84
gemm,3830000,1.2,2019,19041,394.5,1.42
gemm,3830000,1.2,2023,19709,408.3,1.47
gemm,5400000,1.0,2019,19041,1071.8,3.87
gemm,5400000,1.0,2023,19709,1109.4,4.01
gemm,5400000,1.2,2019,19041,556.2,2.01
gemm,5400000,1.2,2023,19709,575.7,2.08
loglinear,2500000,1.0,2019,35410,922.8,3.33
loglinear,2500000,1.0,2023,36597,953.7,3.44
loglinear,2500000,1.2,2019,35410,478.9,1.73
loglinear,2500000,1.2,2023,36597,494.9,1.79
loglinear,3830000,1.0,2019,35410,1413.7,5.1
loglinear,3830000,1.0,2023,36597,1461.1,5.27
loglinear,3830000,1.2,2019,35410,733.6,2.65
loglinear,3830000,1.2,2023,36597,758.2,2.74
loglinear,5400000,1.0,2019,35410,1993.2,7.2
loglinear,5400000,1.0,2023,36597,2060.0,7.44
loglinear,5400000,1.2,2019,35410,1034.3,3.73
loglinear,5400000,1.2,2023,36597,1069.0,3.86
