date,fires_east,fires_west,fires_total
2023-10-01,71,41,112
2023-10-02,122,36,158
2023-10-03,96,86,182
2023-10-04,107,120,227
2023-10-05,114,132,246
2023-10-06,73,116,189
2023-10-07,35,57,92
2023-10-08,51,115,166
2023-10-09,65,150,215
2023-10-10,12,104,116
2023-10-11,24,121,145
2023-10-12,47,90,137
2023-10-13,93,112,205
2023-10-14,65,127,192
2023-10-15,34,92,126
2023-10-16,0,11,11
2023-10-17,3,4,7
2023-10-18,12,40,52
2023-10-19,31,71,102
2023-10-20,105,145,250
2023-10-21,126,116,242
2023-10-22,24,22,46
2023-10-23,148,56,204
2023-10-24,273,73,346
2023-10-25,243,212,455
2023-10-26,530,227,757
2023-10-27,395,186,581
2023-10-28,125,23,148
2023-10-29,720,125,845
2023-10-30,839,131,970
2023-10-31,1177,218,1395
2023-11-01,1164,88,1252
2023-11-02,0,0,0
2023-11-03,918,147,1065
2023-11-04,1183,172,1355
2023-11-05,2552,368,2920
2023-11-06,1533,129,1662
2023-11-07,1311,60,1371
2023-11-08,1097,154,1251
2023-11-09,497,265,762
2023-11-10,7,13,20
2023-11-11,69,33,102
2023-11-12,742,134,876
2023-11-13,984,195,1179
2023-11-14,1615,367,1982
2023-11-15,1628,337,1965
2023-11-16,1254,325,1579
2023-11-17,879,248,1127
2023-11-18,366,120,486
2023-11-19,570,343,913
2023-11-20,357,233,590
2023-11-21,501,272,773
2023-11-22,336,158,494
2023-11-23,159,84,243
2023-11-24,157,57,214
2023-11-25,22,23,45
2023-11-26,31,35,66
2023-11-27,4,2,6
2023-11-28,32,54,86
2023-11-29,8,5,13
2023-11-30,7,18,25
2023-12-01,24,57,81
2023-12-02,29,51,80
2023-12-03,29,28,57
2023-12-04,3,36,39
2023-12-05,2,48,50
2023-12-06,8,56,64
2023-12-07,31,63,94
2023-12-08,23,53,76
2023-12-09,10,23,33
2023-12-10,11,48,59
2023-12-11,11,31,42
2023-12-12,12,65,77
2023-12-13,19,37,56
2023-12-14,5,5,10
2023-12-15,0,28,28
2023-12-16,21,13,34
2023-12-17,11,52,63
2023-12-18,24,59,83
2023-12-19,17,51,68
2023-12-20,41,46,87
2023-12-21,24,53,77
2023-12-22,3,20,23
2023-12-23,18,40,58
2023-12-24,16,11,27
2023-12-25,14,24,38
2023-12-26,2,17,19
2023-12-27,7,36,43
2023-12-28,10,29,39
2023-12-29,16,2,18
2023-12-30,2,5,7
2023-12-31,8,4,12
