blh,date
309.75085373241376,2023-10-01
348.33228007589634,2023-10-02
344.5711046907418,2023-10-03
260.3522920938284,2023-10-04
248.13705636389847,2023-10-05
233.24710747809831,2023-10-06
304.8993029666969,2023-10-07
412.6509956581464,2023-10-08
535.3105693305347,2023-10-09
311.41831786602864,2023-10-10
315.18547178402974,2023-10-11
319.97746169220864,2023-10-12
405.9872036798037,2023-10-13
344.957303628882,2023-10-14
352.6567275177888,2023-10-15
299.54877460316175,2023-10-16
338.61825287160707,2023-10-17
301.6055086803305,2023-10-18
331.6176545497953,2023-10-19
349.9568621581356,2023-10-20
311.46158406744365,2023-10-21
223.6848662232628,2023-10-22
279.8416424298848,2023-10-23
358.043111123155,2023-10-24
260.6929430189964,2023-10-25
230.1276358872199,2023-10-26
319.0665520843464,2023-10-27
318.909809371083,2023-10-28
343.9730593521731,2023-10-29
352.3248150879582,2023-10-30
319.90012022997166,2023-10-31
301.9480547344372,2023-11-01
259.9966094886284,2023-11-02
243.85828594877844,2023-11-03
349.2746618753648,2023-11-04
236.05482767825305,2023-11-05
262.20711609139977,2023-11-06
257.55807343162445,2023-11-07
184.4481119918296,2023-11-08
269.4491352170994,2023-11-09
247.29406065037307,2023-11-10
272.0548898952796,2023-11-11
263.63294955473884,2023-11-12
257.940403390887,2023-11-13
250.6355583644672,2023-11-14
186.30689875812453,2023-11-15
166.1416492171967,2023-11-16
194.3180525741472,2023-11-17
163.47304506420596,2023-11-18
195.7432984158212,2023-11-19
253.39433389877388,2023-11-20
215.9448412925541,2023-11-21
169.60716526142298,2023-11-22
237.2153576314037,2023-11-23
228.7192696430212,2023-11-24
130.50213850978997,2023-11-25
232.10111628066787,2023-11-26
168.4596749037958,2023-11-27
184.3275883042796,2023-11-28
194.0580414578133,2023-11-29
281.4624716942077,2023-11-30
223.1828345672059,2023-12-01
149.0345032666894,2023-12-02
170.04485013969708,2023-12-03
199.4365453865189,2023-12-04
179.70151149385703,2023-12-05
155.04548790642832,2023-12-06
151.58732503677305,2023-12-07
160.5869011252418,2023-12-08
200.386308134509,2023-12-09
168.4370221867436,2023-12-10
149.0806250354561,2023-12-11
224.4318510190085,2023-12-12
200.92139399991493,2023-12-13
165.3246156895639,2023-12-14
174.418862560478,2023-12-15
254.0337027606463,2023-12-16
186.17573310989235,2023-12-17
202.4035017295827,2023-12-18
160.96731666575494,2023-12-19
129.1015100122982,2023-12-20
126.8141285960935,2023-12-21
132.50067943820983,2023-12-22
129.11797002473148,2023-12-23
126.93559498345046,2023-12-24
121.00884142357286,2023-12-25
105.56794879116626,2023-12-26
121.89294831419716,2023-12-27
109.66976511890628,2023-12-28
121.19368151906124,2023-12-29
143.16007967113956,2023-12-30
147.69362911577875,2023-12-31
