blh_day,date
614.8006099632338,2023-10-01
819.2180370789841,2023-10-02
818.9505201579791,2023-10-03
591.4763959407147,2023-10-04
587.3713156039289,2023-10-05
582.4234034114854,2023-10-06
698.6770515916754,2023-10-07
1223.009232770358,2023-10-08
1337.4076756731934,2023-10-09
607.3363590900005,2023-10-10
812.7838878499689,2023-10-11
770.5067833442741,2023-10-12
1097.817304809064,2023-10-13
823.6211866956529,2023-10-14
838.7203588630814,2023-10-15
556.5134440273006,2023-10-16
690.0777764326969,2023-10-17
637.8322806246218,2023-10-18
877.7698093271849,2023-10-19
971.9896981435858,2023-10-20
788.9583524965151,2023-10-21
630.991171091589,2023-10-22
851.2646923355377,2023-10-23
1073.4808594425356,2023-10-24
662.8782376491183,2023-10-25
585.32581081364,2023-10-26
853.3751475649422,2023-10-27
807.0595733515948,2023-10-28
946.3928697092736,2023-10-29
1007.7146230779414,2023-10-30
820.1219479045105,2023-10-31
798.3357672262654,2023-11-01
729.18706017543,2023-11-02
703.2181626949074,2023-11-03
1003.3847760929935,2023-11-04
645.5681982185502,2023-11-05
720.2923247151356,2023-11-06
755.1367796163177,2023-11-07
589.9788458733143,2023-11-08
774.0094173109549,2023-11-09
684.7138099512124,2023-11-10
664.200998140074,2023-11-11
696.8612374586684,2023-11-12
679.4692338070269,2023-11-13
682.8984914439349,2023-11-14
499.4513046243544,2023-11-15
471.824415278138,2023-11-16
480.1757910848489,2023-11-17
398.694884916229,2023-11-18
519.4651650920779,2023-11-19
693.2725727086577,2023-11-20
527.3132282009099,2023-11-21
442.5320758318341,2023-11-22
691.324964510125,2023-11-23
677.986745409616,2023-11-24
331.88949082666085,2023-11-25
692.2837741371673,2023-11-26
421.1646579937652,2023-11-27
501.5662175306477,2023-11-28
500.7239688857463,2023-11-29
769.5073817927149,2023-11-30
514.3538959761709,2023-12-01
343.31538574725266,2023-12-02
431.85321120899255,2023-12-03
520.2667266296978,2023-12-04
380.9038323155743,2023-12-05
375.7836516447582,2023-12-06
377.7990419590952,2023-12-07
462.05413476461206,2023-12-08
521.1543856841071,2023-12-09
429.4222821965093,2023-12-10
396.6072436658509,2023-12-11
605.4627916855767,2023-12-12
559.7025014790263,2023-12-13
435.9200452116021,2023-12-14
474.89069050937934,2023-12-15
645.9697532389999,2023-12-16
342.57318693506613,2023-12-17
428.7726839310896,2023-12-18
339.6424402260682,2023-12-19
323.1080293563062,2023-12-20
325.9947448139534,2023-12-21
268.8384537017527,2023-12-22
335.96208408297684,2023-12-23
237.26643044457228,2023-12-24
322.38996378580737,2023-12-25
290.57443342828816,2023-12-26
224.54589235931024,2023-12-27
180.7201321128328,2023-12-28
126.6038526268586,2023-12-29
321.8529701918817,2023-12-30
300.8593147246175,2023-12-31
