d2m,date
289.42031168205153,2023-10-01
288.1475498994797,2023-10-02
289.53497272661707,2023-10-03
290.1034044297258,2023-10-04
290.3156266424557,2023-10-05
290.1760772584737,2023-10-06
292.91904767511164,2023-10-07
294.2372896495738,2023-10-08
293.05070209267905,2023-10-09
290.6804934891829,2023-10-10
289.04308789562566,2023-10-11
290.1334430496102,2023-10-12
290.76832250099034,2023-10-13
291.2017962197742,2023-10-14
289.68600551955694,2023-10-15
289.9798425680284,2023-10-16
288.1244473267343,2023-10-17
287.0592112254961,2023-10-18
288.5416951939122,2023-10-19
289.0347597546095,2023-10-20
289.50149075842546,2023-10-21
291.07887611537444,2023-10-22
289.5401296292648,2023-10-23
288.56816305810844,2023-10-24
287.2832034172976,2023-10-25
288.14490906215696,2023-10-26
290.10839986662126,2023-10-27
291.1849820076497,2023-10-28
291.2510194856151,2023-10-29
291.1749489902513,2023-10-30
290.5533235640753,2023-10-31
289.72094869831085,2023-11-01
289.5705412696222,2023-11-02
290.06232608864457,2023-11-03
288.3900232659404,2023-11-04
287.69567020336694,2023-11-05
288.76455209579063,2023-11-06
290.1675641816356,2023-11-07
289.07931638795924,2023-11-08
289.0633420192082,2023-11-09
288.56773621538537,2023-11-10
286.9595888873124,2023-11-11
286.60072483388694,2023-11-12
286.9435582692432,2023-11-13
286.83839265849457,2023-11-14
285.79728325174165,2023-11-15
285.7244277696595,2023-11-16
285.7752348738793,2023-11-17
284.70521846419626,2023-11-18
285.3495168602501,2023-11-19
284.8846542460773,2023-11-20
284.6052570844913,2023-11-21
284.49428475379875,2023-11-22
284.7597705256184,2023-11-23
285.5734852775646,2023-11-24
285.0873810187168,2023-11-25
287.2540069047383,2023-11-26
287.0355618910253,2023-11-27
286.56349153825926,2023-11-28
286.3391450770886,2023-11-29
287.0810871897073,2023-11-30
285.2977679304596,2023-12-01
284.68701555968266,2023-12-02
285.517646694447,2023-12-03
285.5562318543945,2023-12-04
285.41333871601745,2023-12-05
282.58117352300513,2023-12-06
282.88702729304924,2023-12-07
282.67213350013554,2023-12-08
282.5586667854689,2023-12-09
281.35777844738914,2023-12-10
282.31299373252847,2023-12-11
282.7753350225863,2023-12-12
282.1410874253192,2023-12-13
282.3985577619172,2023-12-14
282.3092825606487,2023-12-15
283.0381396385536,2023-12-16
282.1985379003968,2023-12-17
280.1863547451535,2023-12-18
279.68198917660106,2023-12-19
280.2172599128608,2023-12-20
281.49200027598715,2023-12-21
282.3786944397684,2023-12-22
283.57400026782665,2023-12-23
283.71297220853336,2023-12-24
282.3627569645325,2023-12-25
283.3828749076715,2023-12-26
283.8241736799948,2023-12-27
283.70183945072864,2023-12-28
283.87050145087846,2023-12-29
282.6859429320866,2023-12-30
282.21373825746235,2023-12-31
