date,no2
2023-10-01,5.755442712234522e-05
2023-10-02,8.515000071844865e-05
2023-10-03,6.449040729764127e-05
2023-10-04,9.78271981218647e-05
2023-10-05,9.202570296750411e-05
2023-10-06,7.426883701601245e-05
2023-10-07,4.778115247701912e-05
2023-10-08,5.4970718274345245e-05
2023-10-09,6.093471274998527e-05
2023-10-10,6.398179286690545e-05
2023-10-11,8.860404470422065e-05
2023-10-12,9.888610647192318e-05
2023-10-13,6.829032296336529e-05
2023-10-14,4.549296317085041e-05
2023-10-15,3.598889126659293e-05
2023-10-16,
2023-10-17,3.819095451283141e-05
2023-10-18,5.787456835380891e-05
2023-10-19,7.65923334443083e-05
2023-10-20,0.0001208693863822
2023-10-21,0.0001311293852613
2023-10-22,0.0001086398351341
2023-10-23,6.429496832466578e-05
2023-10-24,8.676521204868773e-05
2023-10-25,8.965944193975082e-05
2023-10-26,9.526371488536693e-05
2023-10-27,0.0001101198376126
2023-10-28,0.0001092545114464
2023-10-29,9.65920969643271e-05
2023-10-30,9.048684239568404e-05
2023-10-31,0.000106483008014
2023-11-01,5.741295301616669e-05
2023-11-02,
2023-11-03,7.527684426456782e-05
2023-11-04,0.0001033124220427
2023-11-05,0.0001068005662309
2023-11-06,9.937393039517544e-05
2023-11-07,
2023-11-08,0.0001007865879435
2023-11-09,8.359723573913407e-05
2023-11-10,4.5770739020209866e-05
2023-11-11,5.907763134142691e-05
2023-11-12,9.579752789058968e-05
2023-11-13,0.0001319838524807
2023-11-14,0.0001186782769413
2023-11-15,0.0001343135389104
2023-11-16,0.0001869574018714
2023-11-17,8.881834711755173e-05
2023-11-18,8.755816886581826e-05
2023-11-19,6.75356087881667e-05
2023-11-20,7.612664998628926e-05
2023-11-21,9.990456892837236e-05
2023-11-22,0.0001132006521627
2023-11-23,8.458042220753835e-05
2023-11-24,9.335153452441648e-05
2023-11-25,6.5354543773262e-05
2023-11-26,0.0001379191699138
2023-11-27,
2023-11-28,9.257429575829058e-05
2023-11-29,4.40347878601985e-05
2023-11-30,5.927740330383181e-05
2023-12-01,7.585096146573916e-05
2023-12-02,0.0001118895127048
2023-12-03,0.0001353127475364
2023-12-04,9.10113684993189e-05
2023-12-05,8.717614417351275e-05
2023-12-06,8.185886734427549e-05
2023-12-07,0.0001197015787704
2023-12-08,0.0001294596143795
2023-12-09,0.0001204784527342
2023-12-10,8.534126967513503e-05
2023-12-11,0.0001585587497461
2023-12-12,0.000103476036729
2023-12-13,0.0001272503656008
2023-12-14,0.0001658388478277
2023-12-15,0.0001260682205135
2023-12-16,
2023-12-17,7.995420528712358e-05
2023-12-18,0.0001182332352339
2023-12-19,0.0001450328519025
2023-12-20,0.0001313157886107
2023-12-21,0.0001811555978365
2023-12-22,0.0002098901027041
2023-12-23,7.620246940059087e-05
2023-12-24,0.0002837575356423
2023-12-25,0.0001314545818657
2023-12-26,0.0002379305662752
2023-12-27,0.0001940161289932
2023-12-28,0.0002068024267396
2023-12-29,0.0001889335092683
2023-12-30,
2023-12-31,
