date,y_true,y_pred,smog_season,fold
2020-03-29,39.8,124.47207966876172,0,0
2020-03-30,36.2,124.27334671337829,0,0
2020-04-01,23.3,125.10061231426576,0,0
2020-04-02,16.7,125.39805513807222,0,0
2020-04-03,36.5,124.98744981125982,0,0
2020-04-04,43.8,124.83120510978073,0,0
2020-04-05,55.7,123.7683696106002,0,0
2020-04-06,18.8,124.30871307804415,0,0
2020-04-08,22.5,124.69056832588551,0,0
2020-04-10,20.9,123.86369395261552,0,0
2020-04-11,32.9,124.8815708019533,0,0
2020-04-12,42.3,124.77841127156856,0,0
2020-04-15,57.8,123.75830243150398,0,0
2020-04-16,39.8,124.31830702414612,0,0
2020-04-18,17.8,125.13837047174115,0,0
2020-04-19,26.8,124.94766006277494,0,0
2020-04-20,33.6,123.96293948038914,0,0
2020-04-21,34.1,124.81357926082403,0,0
2020-04-22,91.5,124.66847538648197,0,0
2020-04-23,65.0,124.5823340073111,0,0
2020-04-26,55.0,123.28768902933592,0,0
2020-04-27,17.8,123.62540918327825,0,0
2020-04-28,34.3,123.35617406924341,0,0
2020-04-29,52.5,123.49453539839124,0,0
2020-04-30,49.5,123.73149816938837,0,0
2020-05-01,93.9,123.48538248262281,0,0
2020-05-04,46.8,124.03625926465514,0,0
2020-05-05,50.1,124.32250047302378,0,0
2020-05-08,74.5,123.7291697358332,0,0
2020-05-15,58.1,124.3351084385701,0,0
2020-05-16,132.0,124.34693421647785,0,0
2020-05-18,68.9,124.12136491677455,0,0
2020-05-19,144.0,123.15371665381072,0,0
2020-05-20,48.5,124.25629235886167,0,0
2020-05-21,70.2,124.50964119186177,0,0
2020-05-22,85.5,123.25002764917305,0,0
2020-05-23,73.4,123.91783156349312,0,0
2020-05-24,67.5,123.90784131133842,0,0
2020-05-25,43.9,124.31767190871699,0,0
2020-05-26,70.5,123.7541635032599,0,0
2020-05-27,37.2,123.59900016959482,0,0
2020-05-28,37.6,122.2875228925112,0,0
2020-05-29,35.5,118.75048787780516,0,0
2020-05-31,38.2,119.6350325276569,0,0
2020-06-01,35.0,123.18183496448529,0,0
