date,y_true,y_pred,smog_season,fold
2020-03-11,58.5,49.370445,0,0
2020-03-12,22.3,83.05018,0,0
2020-03-13,30.9,40.391476,0,0
2020-03-14,96.4,42.722267,0,0
2020-03-15,128.0,89.03664,0,0
2020-03-16,101.0,91.50427,0,0
2020-03-17,92.8,112.90907,0,0
2020-03-18,100.0,115.14158,0,0
2020-03-19,113.0,119.06948,0,0
2020-03-20,180.0,113.41117,0,0
2020-03-21,74.4,101.92621,0,0
2020-03-22,181.0,91.83006,0,0
2020-03-24,55.4,75.78132,0,0
2020-03-25,30.3,90.50618,0,0
2020-03-26,32.9,84.389046,0,0
2020-03-27,14.1,77.5996,0,0
2020-03-28,21.4,90.10523,0,0
2020-03-29,39.8,79.7482,0,0
2020-03-30,36.2,81.907776,0,0
2020-03-31,34.8,92.15047,0,0
2020-04-01,23.3,91.551605,0,0
2020-04-02,16.7,80.94185,0,0
2020-04-03,36.5,77.42216,0,0
2020-04-04,43.8,85.97813,0,0
2020-04-05,55.7,94.960495,0,0
2020-04-06,18.8,86.56103,0,0
2020-04-08,22.5,78.12208,0,0
2020-04-09,72.9,89.00783,0,0
2020-04-10,20.9,89.43037,0,0
2020-04-11,32.9,89.20433,0,0
2020-04-12,42.3,74.92932,0,0
2020-04-13,66.8,79.608635,0,0
2020-04-14,54.2,79.986305,0,0
2020-04-15,57.8,80.7825,0,0
2020-04-16,39.8,69.94191,0,0
2020-04-17,33.6,77.941315,0,0
2020-04-18,17.8,79.14464,0,0
2020-04-19,26.8,72.922035,0,0
2020-04-20,33.6,88.078735,0,0
2020-04-21,34.1,97.582794,0,0
2020-04-22,91.5,96.02626,0,0
2020-04-23,65.0,87.65014,0,0
2020-04-26,55.0,82.42984,0,0
2020-04-27,17.8,70.51806,0,0
2020-04-28,34.3,97.2468,0,0
2020-04-29,52.5,100.50989,0,0
2020-04-30,49.5,94.062195,0,0
2020-05-01,93.9,94.01125,0,0
2020-05-02,51.3,76.26532,0,0
2020-05-04,46.8,104.952484,0,0
2020-05-05,50.1,91.28501,0,0
2020-05-06,125.0,98.62042,0,0
2020-05-08,74.5,101.19723,0,0
2020-05-13,42.3,95.22255,0,0
2020-05-14,57.9,102.09921,0,0
2020-05-15,58.1,91.5463,0,0
2020-05-16,132.0,89.85811,0,0
2020-05-18,68.9,99.53581,0,0
2020-05-19,144.0,138.88779,0,0
2020-05-20,48.5,104.17803,0,0
2020-05-21,70.2,94.03142,0,0
2020-05-22,85.5,112.311424,0,0
2020-05-23,73.4,96.00809,0,0
2020-05-24,67.5,89.2318,0,0
2020-05-25,43.9,90.70921,0,0
2020-05-26,70.5,93.976135,0,0
2020-05-27,37.2,128.98105,0,0
2020-05-28,37.6,125.36003,0,0
2020-05-29,35.5,78.45293,0,0
2020-05-31,38.2,65.71194,0,0
2020-06-01,35.0,64.85515,0,0
2020-06-02,39.0,89.84587,0,0
2020-06-03,58.3,82.61231,0,0
2020-06-04,49.8,82.28873,0,0
2020-06-05,55.0,61.330585,0,0
2020-06-07,79.2,73.248764,0,0
2020-06-08,72.6,78.361176,0,0
2020-06-09,102.0,66.90861,0,0
2020-06-10,85.0,64.4797,0,0
2020-06-11,90.6,65.55533,0,0
2020-06-12,66.7,79.791534,0,0
2020-06-13,62.5,68.60323,0,0
2020-06-14,84.0,84.47305,0,0
2020-06-15,103.0,95.22771,0,0
2020-06-16,78.4,83.79753,0,0
2020-06-17,68.6,83.15529,0,0
2020-06-18,61.6,78.833405,0,0
2020-06-19,61.3,72.58186,0,0
2020-06-20,83.1,86.91866,0,0
2020-06-21,69.2,66.91928,0,0
2020-06-22,41.6,76.740456,0,0
2020-06-23,58.2,94.18638,0,0
2020-06-24,48.5,65.198456,0,0
2020-06-25,44.8,87.12802,0,0
2020-06-26,42.4,74.8966,0,0
2020-06-27,60.5,74.939316,0,0
2020-06-28,56.1,66.1704,0,0
2020-06-29,32.0,56.61961,0,0
2020-06-30,86.6,67.86998,0,0
2020-07-01,67.1,73.32201,0,0
2020-07-02,59.3,71.402275,0,0
2020-07-03,63.1,74.291084,0,0
2020-07-04,49.5,67.72981,0,0
2020-07-08,17.3,55.257263,0,0
2020-07-09,38.5,78.05433,0,0
2020-07-10,48.9,91.48676,0,0
2020-07-12,16.0,71.05973,0,0
2020-07-13,46.9,93.42593,0,0
2020-07-14,48.0,73.69911,0,0
2020-07-15,40.2,60.911163,0,0
2020-07-16,88.3,58.60477,0,0
2020-07-17,61.3,75.78798,0,0
2020-07-18,56.2,66.275734,0,0
2020-07-19,33.4,66.55756,0,0
2020-07-20,22.6,67.495094,0,0
2020-07-21,26.0,53.667107,0,0
2020-07-22,59.5,81.51531,0,0
2020-07-23,65.5,67.59802,0,0
2020-07-24,48.1,60.28764,0,0
2020-07-25,39.1,62.910713,0,0
2020-07-26,31.3,65.758804,0,0
2020-07-27,49.5,96.225365,0,0
2020-07-28,32.7,76.94675,0,0
2020-07-29,28.7,63.65995,0,0
2020-07-30,18.5,60.923332,0,0
2020-08-03,24.6,56.562057,0,0
2020-08-06,24.2,61.95242,0,0
2020-08-07,14.0,66.022125,0,0
2020-08-08,35.7,80.35408,0,0
2020-08-09,39.2,59.18898,0,0
2020-08-10,29.3,42.82031,0,0
2020-08-11,66.5,67.529495,0,0
2020-08-12,31.5,58.971237,0,0
2020-08-13,34.9,50.65747,0,0
2020-08-14,16.4,46.430485,0,0
2020-08-15,22.3,58.123814,0,0
2020-08-16,35.3,71.372215,0,0
2020-08-17,31.4,73.344734,0,0
2020-08-18,44.0,60.981808,0,0
2020-08-19,23.8,38.17351,0,0
2020-08-20,18.4,41.52084,0,0
2020-08-21,20.5,41.997814,0,0
2020-08-22,70.1,72.338905,0,0
2020-08-23,35.2,44.47281,0,0
2020-08-24,14.3,58.920193,0,0
2020-08-25,16.3,53.353077,0,0
2020-08-26,17.4,54.77924,0,0
2020-08-27,14.8,61.686806,0,0
2020-08-28,36.7,52.979214,0,0
2020-08-29,28.8,55.45764,0,0
2020-08-30,31.0,55.54287,0,0
2020-08-31,15.4,58.106544,0,0
2020-09-01,14.2,58.63861,0,0
2020-09-02,20.5,62.59666,0,0
2020-09-03,14.4,58.05834,0,0
2020-09-05,86.5,64.92531,0,0
2020-09-06,42.6,72.20181,0,0
2020-09-07,81.8,72.74569,0,0
2020-09-08,60.0,65.54325,0,0
2020-09-09,60.4,72.88919,0,0
2020-09-10,68.3,58.359287,0,0
2020-09-11,52.3,66.19725,0,0
2020-09-12,52.8,76.918755,0,0
2020-09-13,57.1,82.29172,0,0
2020-09-14,60.0,80.98676,0,0
2020-09-15,56.2,81.04737,0,0
2020-09-16,54.3,74.71199,0,0
2020-09-17,57.2,81.44273,0,0
2020-09-18,62.6,109.20329,0,0
2020-09-19,60.1,75.36377,0,0
2020-09-20,58.1,70.79357,0,0
2020-09-21,70.6,77.78363,0,0
2020-09-22,79.8,119.85203,0,0
2020-09-23,86.0,103.55485,0,0
2020-09-24,86.2,90.646805,0,0
2020-09-25,77.8,84.68959,0,0
2020-09-26,66.9,73.49654,0,0
